track_id,spotify_track_uri
00fWaaNmh4tHZH5hgye2SR,spotify:track:00fWaaNmh4tHZH5hgye2SR
00gC4R6uqXGobMkHGZiRrz,spotify:track:00gC4R6uqXGobMkHGZiRrz
00gU2jShkz0Eb2TyYDNHc1,spotify:track:00gU2jShkz0Eb2TyYDNHc1
00hMS0akp6pTIM83vZvH3U,spotify:track:00hMS0akp6pTIM83vZvH3U
00jH54HSGWLyqn6HzM3Dhj,spotify:track:00jH54HSGWLyqn6HzM3Dhj
00jxfqOxQhtEpGQP2QVGQ4,spotify:track:00jxfqOxQhtEpGQP2QVGQ4
00kgN0OB6cuX8WSKGpiy8j,spotify:track:00kgN0OB6cuX8WSKGpiy8j
00khjR2aGxLqLnKO0JGnSV,spotify:track:00khjR2aGxLqLnKO0JGnSV
00krdbEGbFA6njgx9y3sJB,spotify:track:00krdbEGbFA6njgx9y3sJB
00kytgnk50x11EP9XrTCKL,spotify:track:00kytgnk50x11EP9XrTCKL
00l7MTedoHfp9aS4CzG1cU,spotify:track:00l7MTedoHfp9aS4CzG1cU
00nNeX5MR3npNesHJ4Cqx4,spotify:track:00nNeX5MR3npNesHJ4Cqx4
00o39BbfnwhIZIhfsAGCBH,spotify:track:00o39BbfnwhIZIhfsAGCBH
00oZhqZIQfL9P5CjOP6JsO,spotify:track:00oZhqZIQfL9P5CjOP6JsO
00ppnEHLNWTXumgy9z5fN8,spotify:track:00ppnEHLNWTXumgy9z5fN8
00qJCrBeIkCWog7b2zRp69,spotify:track:00qJCrBeIkCWog7b2zRp69
00qOE7OjRl0BpYiCiweZB2,spotify:track:00qOE7OjRl0BpYiCiweZB2
00r40cNOJTjlNw5cG4ADHf,spotify:track:00r40cNOJTjlNw5cG4ADHf
00s0mmjDs9UVAOKGyD2hpU,spotify:track:00s0mmjDs9UVAOKGyD2hpU
00sCMbQ2zfaVNOWuJPpF72,spotify:track:00sCMbQ2zfaVNOWuJPpF72
00ta8U6cHV5VKMhI2EkBLA,spotify:track:00ta8U6cHV5VKMhI2EkBLA
00vYs0qZA40Z8AAaN7xmMO,spotify:track:00vYs0qZA40Z8AAaN7xmMO
00viUMvYR4Smwuw6l1W4el,spotify:track:00viUMvYR4Smwuw6l1W4el
00wcLtytmsTRNPpXGvrfp5,spotify:track:00wcLtytmsTRNPpXGvrfp5
00x3u11q6SbmEOJDV0LQls,spotify:track:00x3u11q6SbmEOJDV0LQls
00xP5q2bUJ00LS6MrBSYvw,spotify:track:00xP5q2bUJ00LS6MrBSYvw
00xgJHGzUSo3gwtFwnC53G,spotify:track:00xgJHGzUSo3gwtFwnC53G
00yLS0XOgv5gIscvPB6zvz,spotify:track:00yLS0XOgv5gIscvPB6zvz
00zr6MLtSPopXmDDor2Wf5,spotify:track:00zr6MLtSPopXmDDor2Wf5
011YlEPUr6DW1HAVCmyVgg,spotify:track:011YlEPUr6DW1HAVCmyVgg
011wpLVK88mqhPDtCJ87jo,spotify:track:011wpLVK88mqhPDtCJ87jo
012O5G2KsgHQMuZlwiPFny,spotify:track:012O5G2KsgHQMuZlwiPFny
012gwAikmq2LVlJX7Otsu8,spotify:track:012gwAikmq2LVlJX7Otsu8
0145u4oWAbmESYGvvyzLW5,spotify:track:0145u4oWAbmESYGvvyzLW5
014H0gsK6a3CWdxerqWz64,spotify:track:014H0gsK6a3CWdxerqWz64
